cierre_id,instalacion_id,rut,fecha_cierre,fecha_reapertura
185,142,13592940-9,2012-03-10 20:15:40,2012-03-14 10:04:43
186,69,10119008-0,2012-03-15 10:26:10,2012-03-26 12:55:57
187,131,91461351-5,2012-04-02 13:53:01,2012-04-16 22:59:49
188,59,16792411-5,2012-04-05 06:58:45,2012-04-11 16:15:00
189,159,21332506-k,2012-04-14 21:06:00,2012-04-21 23:58:12
190,170,98642893-3,2012-04-21 05:10:58,2012-04-27 08:25:14
191,98,99837067-1,2012-04-25 16:55:05,2012-05-05 19:29:24
192,168,37142311-7,2012-04-26 23:14:48,2012-05-08 11:38:02
193,191,92253121-8,2012-04-30 14:56:28,2012-05-15 05:18:06
194,154,55106753-k,2012-05-01 13:59:49,2012-05-08 19:04:19
195,40,77210598-3,2012-05-05 09:45:09,2012-05-18 18:02:23
196,40,22001298-0,2012-05-07 14:22:31,2012-05-17 01:33:49
197,47,27183294-k,2012-05-16 21:59:46,2012-05-31 03:13:25
198,133,31113786-7,2012-05-20 02:22:57,2012-06-03 18:12:24
199,41,23686910-5,2012-05-22 04:16:25,2012-06-01 19:14:56
200,179,64269343-3,2012-05-25 04:04:30,2012-05-28 07:06:07
201,133,31113786-7,2012-06-01 19:01:50,2012-06-10 03:58:49
202,184,14046488-0,2012-06-01 23:46:13,2012-06-08 02:16:50
203,94,44290962-8,2012-06-06 10:19:42,2012-06-20 21:47:58
204,63,86083776-5,2012-06-13 03:05:22,2012-06-26 06:44:42
205,19,50942616-3,2012-06-15 05:05:52,2012-06-18 17:45:13
206,11,42723522-k,2012-06-15 19:13:48,2012-06-27 05:53:51
207,67,59137080-4,2012-06-18 12:14:24,2012-06-27 16:30:26
208,144,70388205-6,2012-06-21 20:42:17,2012-07-04 08:28:01
209,200,53329659-9,2012-06-24 23:02:20,2012-07-02 10:07:09
210,157,36081017-8,2012-06-25 10:05:03,2012-07-02 22:38:23
211,198,86447590-6,2012-07-06 01:35:09,2012-07-17 01:43:27
212,55,96900689-8,2012-07-07 02:13:35,2012-07-16 16:02:10
213,11,58557550-k,2012-07-07 06:37:18,2012-07-19 10:45:56
214,80,43630930-9,2012-07-18 04:30:04,2012-07-23 12:54:37
215,210,31256887-k,2012-07-21 16:07:38,2012-07-27 00:31:51
216,166,84593882-2,2012-07-27 16:12:21,2012-07-31 18:38:27
217,93,44372095-2,2012-07-31 02:21:48,2012-08-07 06:21:28
218,188,60747994-1,2012-08-15 11:03:40,2012-08-21 18:20:47
219,15,20640357-8,2012-08-16 20:35:06,2012-08-28 03:55:28
220,181,71962392-1,2012-08-20 17:03:40,2012-08-28 02:25:14
221,129,20180335-7,2012-08-30 14:52:01,2012-09-07 06:49:23
222,17,46288331-5,2012-09-05 23:24:13,2012-09-18 06:51:44
223,178,91790173-2,2012-09-10 15:01:21,2012-09-23 05:08:10
224,74,47121914-2,2012-09-11 15:16:44,2012-09-17 22:16:10
225,116,52968708-7,2012-09-21 16:19:30,2012-09-30 02:43:16
226,11,97996738-1,2012-09-27 12:15:23,2012-10-02 01:19:57
227,164,75397524-1,2012-09-29 21:59:27,2012-10-09 03:19:26
228,194,54593722-0,2012-10-01 15:44:29,2012-10-09 04:07:43
229,33,78166652-1,2012-10-05 00:28:09,2012-10-19 00:37:42
230,4,79861684-6,2012-11-17 08:57:36,2012-11-27 14:39:38
231,186,84569598-9,2012-11-30 15:22:51,2012-12-03 22:22:38
232,4,79861684-6,2012-12-16 10:47:41,2012-12-21 20:00:12
233,27,25002692-7,2012-12-17 09:26:01,2012-12-20 19:26:08
234,52,79263691-8,2013-01-07 09:45:13,2013-01-21 02:05:29
235,48,51630030-2,2013-01-09 05:13:39,2013-01-19 05:58:49
236,131,70582800-8,2013-01-11 06:50:31,2013-01-20 17:07:37
237,128,53383454-k,2013-01-14 05:47:27,2013-01-20 16:59:01
238,187,73543707-0,2013-01-22 00:00:29,2013-02-03 00:46:38
239,206,21219682-7,2013-01-28 01:53:10,2013-02-03 11:32:55
240,70,25399600-5,2013-02-04 09:31:24,2013-02-16 12:50:29
241,208,86434438-0,2013-02-05 17:39:25,2013-02-10 01:46:10
242,183,26849996-2,2013-02-06 17:46:01,2013-02-11 20:37:38
243,46,67629255-1,2013-02-10 04:58:46,2013-02-23 16:07:11
244,0,75295314-7,2013-02-12 03:19:00,2013-02-20 07:35:11
245,134,80698616-k,2013-02-16 17:00:30,2013-03-03 03:28:17
246,133,29622397-2,2013-02-19 21:47:09,2013-03-06 13:46:33
247,184,85743167-7,2013-02-22 05:41:25,2013-03-07 06:15:02
248,28,83118985-1,2013-02-24 00:58:46,2013-03-07 03:42:00
249,209,46491043-3,2013-02-26 05:28:50,2013-03-04 21:09:03
250,130,79308193-6,2013-02-27 14:06:33,2013-03-05 21:14:36
251,32,22997103-4,2013-03-10 00:56:38,2013-03-18 09:07:58
252,128,93892863-0,2013-03-16 05:07:13,2013-03-29 09:41:34
253,114,88697741-7,2013-03-17 14:10:33,2013-03-30 17:13:13
254,103,73026642-1,2013-03-19 15:08:24,2013-03-24 17:26:30
255,37,78897889-8,2013-03-20 01:16:54,2013-03-23 07:29:52
256,67,48292072-1,2013-03-21 06:11:56,2013-04-03 17:17:42
257,50,46531952-6,2013-03-22 06:37:47,2013-03-25 09:56:39
258,48,11554909-k,2013-03-22 14:03:33,2013-03-30 00:31:48
259,77,59444986-k,2013-03-24 01:22:38,2013-04-04 10:41:23
260,213,87859472-k,2013-03-27 00:31:22,2013-04-07 04:49:53
261,140,68377701-3,2013-03-28 04:34:00,2013-04-01 14:21:45
262,110,39899583-k,2013-03-28 15:46:20,2013-04-10 02:29:51
263,190,95711978-6,2013-03-29 16:00:44,2013-04-05 04:47:36
264,29,28231652-8,2013-03-29 16:23:20,2013-04-06 07:27:40
265,136,15460166-k,2013-04-14 03:46:45,2013-04-19 08:00:56
266,153,24115633-8,2013-04-22 05:54:13,2013-04-26 10:43:41
267,193,72570829-7,2013-04-30 06:43:16,2013-05-10 20:11:26
268,57,76081261-7,2013-05-01 06:39:42,2013-05-12 18:49:58
269,119,38204359-6,2013-05-01 22:04:40,2013-05-05 12:58:38
270,178,91790173-2,2013-05-02 04:30:56,2013-05-11 08:23:51
271,165,51844875-7,2013-05-03 19:31:07,2013-05-10 03:47:59
272,23,28630079-0,2013-05-07 09:42:46,2013-05-16 12:00:58
273,192,50728559-7,2013-05-07 19:46:05,2013-05-13 02:06:54
274,36,70876733-6,2013-05-08 06:07:59,2013-05-12 19:55:11
275,143,14761964-2,2013-05-13 03:03:23,2013-05-20 18:17:22
276,120,96562711-1,2013-05-15 06:47:13,2013-05-29 18:30:28
277,82,86043030-4,2013-05-15 07:21:50,2013-05-25 08:59:44
278,161,83029887-8,2013-05-18 06:32:18,2013-05-21 18:08:20
279,77,59444986-k,2013-05-18 08:16:35,2013-05-24 21:30:21
280,12,35685353-9,2013-05-22 18:13:39,2013-06-06 00:43:59
281,133,31113786-7,2013-05-28 04:36:20,2013-06-03 06:51:51
282,164,75397524-1,2013-06-12 10:16:45,2013-06-23 23:08:02
283,170,73557956-8,2013-06-21 13:01:59,2013-07-03 17:49:52
284,78,12815044-7,2013-06-27 20:19:10,2013-07-04 06:37:51
285,111,41325900-2,2013-06-29 16:40:38,2013-07-05 21:55:20
286,119,59105378-7,2013-07-14 02:17:51,2013-07-27 04:22:53
287,147,81602032-8,2013-07-19 07:02:02,2013-07-24 08:48:58
288,142,65855526-k,2013-07-25 15:35:39,2013-08-05 23:13:09
289,154,25368817-3,2013-07-26 16:20:34,2013-07-29 19:53:25
290,88,73324033-4,2013-07-31 10:44:42,2013-08-09 10:51:49
291,56,43926456-k,2013-08-01 17:14:23,2013-08-04 17:23:19
292,80,92170041-5,2013-08-12 09:55:57,2013-08-21 16:39:42
293,28,14114400-6,2013-08-25 16:09:46,2013-09-06 06:10:50
294,96,94688326-3,2013-08-25 20:10:03,2013-08-29 09:48:20
295,66,95932617-7,2013-08-26 20:16:59,2013-08-30 06:06:06
296,117,44060880-9,2013-08-28 19:33:50,2013-09-07 03:03:19
297,116,52968708-7,2013-09-05 21:43:52,2013-09-12 14:18:22
298,143,14761964-2,2013-09-08 06:11:31,2013-09-16 20:49:42
299,136,27712443-2,2013-09-09 06:34:28,2013-09-12 15:06:17
300,60,54121962-5,2013-09-28 17:35:28,2013-10-08 19:05:09
301,207,79758989-6,2013-09-30 22:21:46,2013-10-12 22:35:59
302,105,95514882-7,2013-10-04 02:37:44,2013-10-18 11:24:18
303,29,28231652-8,2013-10-11 04:15:05,2013-10-21 12:41:54
304,107,85682952-9,2013-10-11 13:10:49,2013-10-23 13:49:40
305,92,13965853-1,2013-10-12 16:42:57,2013-10-22 09:03:21
306,1,73842540-5,2013-10-16 04:47:09,2013-10-19 18:04:04
307,140,68377701-3,2013-10-28 18:39:37,2013-11-02 04:04:43
308,26,15333675-k,2013-10-29 06:43:32,2013-11-12 21:31:10
309,208,66119831-1,2013-11-02 19:20:46,2013-11-13 07:21:26
310,105,95514882-7,2013-11-02 21:45:14,2013-11-07 11:52:29
311,83,49995619-3,2013-11-04 08:52:15,2013-11-18 18:00:21
312,165,58945079-5,2013-11-04 14:44:35,2013-11-13 22:12:18
313,3,27626683-7,2013-11-11 11:55:36,2013-11-21 15:14:50
314,93,82833215-5,2013-11-11 21:37:20,2013-11-16 04:10:02
315,72,64370666-0,2013-11-11 23:18:14,2013-11-18 01:03:08
316,164,61995722-9,2013-11-12 08:06:10,2013-11-23 11:24:35
317,70,58765828-3,2013-11-15 04:59:28,2013-11-20 20:29:45
318,0,12842111-4,2013-11-19 16:55:12,2013-11-23 05:19:10
319,1,23407008-8,2013-11-22 19:16:11,2013-11-26 19:34:45
320,103,76396643-7,2013-11-22 19:56:10,2013-11-30 11:52:32
321,107,12957899-8,2013-11-25 14:57:49,2013-12-05 04:11:58
322,3,27626683-7,2013-11-26 02:03:40,2013-12-09 09:25:44
323,149,85394005-4,2013-11-30 19:45:16,2013-12-13 01:29:21
324,88,73324033-4,2013-12-11 00:19:37,2013-12-24 02:38:44
325,72,58000701-5,2013-12-22 16:53:31,2013-12-25 23:55:22
326,130,53967694-6,2013-12-24 04:43:50,2013-12-27 10:47:57
327,185,86555166-5,2013-12-24 06:16:08,2013-12-30 16:52:18
328,67,53721649-2,2013-12-27 22:58:02,2014-01-09 14:47:39
329,172,82993651-8,2013-12-28 01:44:01,2014-01-03 11:12:42
330,123,68225683-4,2014-01-02 23:39:42,2014-01-11 10:22:14
331,55,96900689-8,2014-01-09 21:34:34,2014-01-13 11:28:51
332,101,31706054-8,2014-01-12 17:51:02,2014-01-19 04:04:17
333,169,75328775-2,2014-01-15 00:07:33,2014-01-28 13:26:04
334,102,34643031-1,2014-01-20 03:46:55,2014-02-02 07:56:02
335,10,11118739-8,2014-01-21 19:00:16,2014-02-04 06:59:03
336,26,95741388-9,2014-01-24 06:36:08,2014-01-29 19:22:41
337,208,56535213-k,2014-01-29 23:12:13,2014-02-06 23:41:12
338,65,30928102-0,2014-01-31 10:05:54,2014-02-13 13:26:36
339,203,50109588-5,2014-02-01 23:35:49,2014-02-14 03:31:28
340,144,70388205-6,2014-02-06 15:39:38,2014-02-18 02:04:24
341,209,92270331-0,2014-02-16 11:27:20,2014-02-27 17:57:53
342,163,42162871-8,2014-02-19 04:04:53,2014-02-24 07:40:16
343,29,54122700-8,2014-02-24 14:16:18,2014-03-07 05:59:48
344,87,78156640-3,2014-03-03 00:02:20,2014-03-06 01:50:44
345,134,57325256-k,2014-03-14 08:49:56,2014-03-17 15:58:17
346,185,88538509-5,2014-03-14 15:07:05,2014-03-27 07:30:16
347,77,75357089-6,2014-03-15 01:31:11,2014-03-26 15:07:39
348,183,48425773-6,2014-03-21 21:58:58,2014-03-26 03:06:18
349,136,91957637-5,2014-03-31 18:07:03,2014-04-03 21:32:26
350,126,85034590-2,2014-04-05 12:19:44,2014-04-16 01:00:49
351,194,54593722-0,2014-04-07 11:02:21,2014-04-17 22:46:26
352,192,91935122-5,2014-04-07 23:51:01,2014-04-20 00:25:07
353,91,74415365-4,2014-04-13 12:56:02,2014-04-26 16:13:03
354,52,61993529-2,2014-04-16 21:15:06,2014-04-21 07:01:32
355,24,32992512-9,2014-04-26 04:17:37,2014-04-30 15:43:32
356,183,32644502-9,2014-05-03 02:45:54,2014-05-07 14:07:19
357,203,50109588-5,2014-05-07 22:39:22,2014-05-12 07:30:46
358,71,15119459-1,2014-05-08 05:39:58,2014-05-17 16:20:24
359,54,79348268-k,2014-05-15 13:09:57,2014-05-24 03:19:42
360,147,48433213-4,2014-05-26 15:25:43,2014-06-02 00:15:25
361,84,35155157-7,2014-05-28 11:46:15,2014-06-11 12:53:51
362,16,53089483-5,2014-05-28 16:12:42,2014-06-11 20:41:27
363,211,55326528-2,2014-05-29 00:05:08,2014-06-06 05:14:57
364,120,47067447-4,2014-05-30 22:38:50,2014-06-08 09:11:16
365,147,20034783-8,2014-05-31 15:30:16,2014-06-08 05:43:40
366,147,48433213-4,2014-06-02 10:06:53,2014-06-11 18:27:27
367,194,37126798-0,2014-06-05 11:37:49,2014-06-18 22:17:05
368,114,89793517-1,2014-06-16 01:56:36,2014-06-19 13:53:35
369,114,28370900-0,2014-06-18 04:32:18,2014-06-22 15:09:49
370,38,88772168-8,2014-06-18 11:05:16,2014-06-21 13:00:55
371,24,44100123-1,2014-06-23 05:21:14,2014-07-06 10:47:44
372,144,70388205-6,2014-06-24 12:20:44,2014-07-03 13:09:10
373,172,59959821-9,2014-06-26 10:06:02,2014-07-07 21:08:16
374,124,26123513-7,2014-06-26 14:42:34,2014-07-04 04:00:42
375,79,92244003-4,2014-07-05 14:21:38,2014-07-13 01:14:38
376,107,38317707-3,2014-07-14 02:03:29,2014-07-18 11:33:35
377,113,94888169-1,2014-07-15 04:41:35,2014-07-29 10:39:49
378,137,28792266-3,2014-07-20 09:25:35,2014-07-31 17:54:34
379,207,35785969-7,2014-08-01 09:32:58,2014-08-06 11:52:32
380,181,11123767-0,2014-08-03 01:30:40,2014-08-07 08:24:06
381,207,35785969-7,2014-08-08 20:23:36,2014-08-22 05:22:36
382,67,53721649-2,2014-08-12 02:56:52,2014-08-24 05:57:47
383,137,84729190-7,2014-08-17 19:30:43,2014-08-28 20:33:23
384,155,51693674-6,2014-08-20 18:41:06,2014-09-03 06:03:23
385,199,97004364-0,2014-08-21 02:33:19,2014-08-27 12:52:45
386,9,94384917-k,2014-08-24 17:29:23,2014-09-05 00:20:09
