rut,instalacion_id
20209505-4,167
20228556-2,168
20297901-7,14
20335324-3,150
20467855-3,51
20600805-9,168
20640357-8,15
20672410-2,74
20694588-5,89
20774234-1,117
20789297-1,4
20820475-0,163
20843742-9,32
20909860-1,215
20996381-7,76
21016824-9,42
21188032-5,2
21201270-k,138
21219682-7,206
21290952-1,35
21330792-4,157
21332506-k,159
21630671-6,82
21666289-k,123
21672114-4,35
21759577-0,19
21823347-3,44
21840388-3,150
21875469-4,177
21878618-9,211
21924647-1,135
22001298-0,40
22027409-8,211
22060310-5,196
22145359-k,151
22150901-3,104
22169359-0,165
22234852-8,173
22240154-2,141
22249624-1,210
22252251-k,64
22274441-5,45
22412109-1,69
22479749-4,37
22532060-8,150
22545748-4,53
22566169-3,167
22587614-2,32
22637365-9,72
22760013-6,166
22783728-4,102
22825105-4,70
22876040-4,176
22913410-8,167
22937366-8,157
22977216-3,141
22997103-4,32
23000993-7,173
23047484-2,153
23298212-8,193
23298314-0,160
23407008-8,1
23494123-2,40
23514054-3,115
23526948-1,178
23625905-6,214
23632306-4,42
23648509-9,122
23684561-3,150
23686910-5,41
23711490-6,71
23713134-7,76
23748548-3,35
23819538-1,120
23937155-8,122
23970806-4,118
24115633-8,153
24129722-5,177
24149278-8,178
24215497-5,39
24655915-5,178
24796080-5,50
24840265-2,180
24878659-0,90
24927693-6,175
24945173-8,28
25002692-7,27
25070905-6,25
25107105-5,115
25198755-6,112
25309713-2,69
25327705-k,180
25342278-5,135
25368817-3,154
25399600-5,70
25450277-4,32
25497638-5,110
25572424-k,164
25609460-6,204
25696685-9,37
25750021-7,32
25806104-7,213
25844754-9,122
25919808-9,108
26100581-6,117
26113418-7,53
26123513-7,124
26135720-8,130
26196183-0,203
26240285-1,16
26249833-6,63
26257768-6,209
26475026-1,199
26541300-5,212
26617374-1,175
26635765-6,123
26849996-2,183
26905798-k,10
27003910-3,152
27083103-6,142
27143992-k,161
27161682-1,78
27183294-k,47
27423756-2,120
27604578-4,121
27626683-7,3
27650119-4,56
27712443-2,136
27811535-6,106
27844046-k,50
27852199-0,94
27952560-4,115
28012525-3,176
28060713-4,10
28118803-8,131
28231652-8,29
28273728-0,190
28320055-8,128
28353821-4,58
28370900-0,114
28450511-5,180
28485302-4,163
28597225-6,161
28630079-0,23
28673876-1,172
28738037-2,59
28752611-3,76
28792266-3,137
28954972-2,129
29004298-4,149
29009046-6,199
29295221-k,50
29381516-k,171
29415476-0,191
29522091-0,170
29557986-2,181
29622397-2,133
29622980-6,165
29637564-0,110
29646441-4,171
29676675-5,182
29728267-0,115
29742884-5,36
29803983-4,151
29858450-6,106
29877385-6,210
29903675-8,73
29950437-9,41
29989393-6,32
30001031-8,118
30224213-5,92
30364676-0,148
30492842-5,213
30680313-1,112
30741496-1,14
30760014-5,106
30775222-0,153
30854312-9,180
30862862-0,69
30928102-0,65
30991735-9,131
31092780-5,84
31111145-0,35
31113786-7,133
31194216-6,55
31256887-k,210
31359212-k,15
31457093-6,62
31459690-0,167
31642814-2,34
31653150-4,27
31679088-7,186
31690607-9,168
31691559-0,65
31706054-8,101
31726652-9,89
31793868-3,174
31845287-3,157
32086803-3,189
32142510-0,20
32153494-5,90
32165632-3,170
32211035-9,178
32219010-7,109
32273167-1,86
32273643-6,154
32359787-1,191
32366948-1,176
32628385-1,90
32644502-9,183
32690774-k,142
32700742-4,76
32726853-8,163
32750103-8,67
32817993-8,15
32992512-9,24
33006349-1,82
33016426-3,30
33078552-7,3
33090056-3,73
33199896-6,50
33236616-5,182
33298524-8,183
33402225-0,121
33456182-8,168
33461512-k,95
33461543-k,2
33466037-0,186
33481996-5,46
33491402-k,82
33572631-6,192
33670116-3,197
33734821-1,192
33802463-0,210
33874298-3,85
33890329-4,175
33904341-8,165
33908685-0,69
33911863-9,137
33917878-k,29
34012878-8,126
34039148-9,207
34048567-k,115
34183638-7,184
34349789-k,37
34352032-8,8
34414978-k,86
34424260-7,57
34566442-4,98
34572846-5,12
34603233-2,130
34643031-1,102
34761062-3,181
34762796-8,182
34776869-3,183
34823992-9,75
34846808-1,21
34864642-7,24
34882918-1,135
34902561-2,195
34917249-6,156
34966889-0,200
34975310-3,66
34996262-4,100
35066595-1,157
35069575-3,211
35115737-2,0
35155157-7,84
35288330-1,193
35340502-0,21
35412165-4,97
35414863-3,101
35480818-8,8
35492826-4,126
35656775-7,74
35661237-k,98
35662780-6,200
35668656-k,118
35685353-9,12
35773199-2,151
35773530-0,131
35776394-0,180
35785969-7,207
35806868-5,186
35820841-k,158
36030482-5,157
36044904-1,184
36081017-8,157
36205098-7,64
36259502-9,214
36304600-2,37
36432728-5,57
36552322-3,186
36578275-k,59
36600416-5,62
36615636-4,101
36625090-5,27
36664523-3,99
36669949-k,189
36692442-6,104
36706688-1,70
36731956-9,82
36750587-7,167
36918308-7,110
37117213-0,176
37126798-0,194
37142311-7,168
37156185-4,205
37184049-4,168
37200573-4,84
37204390-3,149
37220030-8,2
37285914-8,48
37376941-k,147
37492390-0,168
37500745-2,134
37608219-9,102
37630974-6,143
37653211-9,74
37731534-0,117
37742604-5,180
37780063-k,137
37797879-k,38
37839960-2,164
37925650-3,16
37981852-8,126
38072383-2,116
38100857-6,112
38158176-4,125
38204359-6,119
38235761-2,95
38287473-0,195
38317707-3,107
38405094-8,202
38470405-0,41
38563658-k,143
38578737-5,23
38628283-8,202
38629675-8,8
38631846-8,153
38717290-4,117
38725184-7,121
38830395-6,200
38895795-6,9
39006777-1,47
39038168-9,1
39043389-1,65
39089742-1,158
39473167-6,107
39567466-8,99
39790970-0,213
39899583-k,110
39949282-3,134
40070443-0,120
40127235-6,87
40161573-3,129
40236352-5,90
40269415-7,118
40350724-5,148
40373818-2,37
40403791-9,4
40424433-7,126
40455577-4,102
40503382-8,109
40538537-6,11
40588157-8,110
40597717-6,139
40640800-0,27
40644356-6,145
40675138-4,146
40978316-3,203
41071374-8,201
41091494-8,174
41183684-3,144
41226633-1,115
41234355-7,182
41266992-4,187
41325900-2,111
41361801-0,94
41391265-2,57
41545483-k,57
41581842-4,202
41601315-2,123
41659296-9,126
41694611-6,37
41704207-5,1
41740767-7,147
41775238-2,35
41966463-4,83
42113348-4,86
42127645-5,63
42162871-8,163
42168093-0,187
42216276-3,38
42226798-0,25
42300579-3,74
42354523-2,136
42494071-2,156
42538060-5,129
42621036-3,69
42644643-k,98
42655208-6,180
42678415-7,176
42679613-9,198
42714709-6,61
42723522-k,11
42814101-6,167
42868972-0,205
42938886-4,124
43123228-6,142
43129309-9,178
43161018-3,155
43173481-8,176
43329730-k,39
43538788-8,85
43597800-2,96
43630930-9,80
43630977-5,88
43654491-k,150
43776217-1,129
43831962-k,115
43922451-7,26
43926456-k,56
43953571-7,66
44060880-9,117
44100123-1,24
44126502-6,198
44171043-7,168
44253237-0,184
44281327-2,27
44290962-8,94
44372095-2,93
44380500-1,15
44422964-0,20
44604413-3,138
44626695-0,51
44715611-3,103
44749202-4,173
44770429-3,96
44812887-3,126
44822766-9,95
44840159-6,182
44867899-7,173
44973013-5,177
45008209-0,180
45024924-6,3
45026478-4,52
45026733-3,78
45125749-8,138
45273848-1,206
45276568-3,138
45347413-5,189
45355149-0,196
45385992-4,48
45400053-6,62
45453849-8,6
45467235-6,209
45504619-k,70
45510769-5,14
45589350-k,149
45624249-9,14
45631604-2,4
45644100-9,111
45677093-2,172
45717384-9,184
45740927-3,99
45751112-4,66
45856781-6,30
45981588-0,18
46012714-9,72
46025545-7,3
46033111-0,198
46067685-1,115
46080300-4,168
46088353-9,129
46187096-1,115
46188032-0,91
46251263-5,14
46288331-5,17
46491043-3,209
46524982-k,169
46531952-6,50
46680387-1,42
46787382-2,14
46805723-9,113
46930527-9,110
46962859-0,124
47067447-4,120
47121914-2,74
47249752-9,88
47287276-1,206
47326835-3,153
47329036-7,198
47342099-6,27
47377094-6,6
47591540-2,165
47666047-5,92
47673879-2,198
47738259-2,173
47865441-3,119
47922722-5,83
47942200-1,169
47981838-k,0
48007583-8,64
48040287-1,10
48060937-9,130
48161908-4,99
48176712-1,64
48246125-5,81
48269008-4,135
48292072-1,67
48333719-1,19
48345899-1,63
48425773-6,183
48433213-4,147
48459253-5,108
48553208-0,118
48592540-6,68
48630167-8,142
48679409-7,41
48762156-0,193
48766480-4,114
48776848-0,165
48795285-0,44
48849361-2,60
48908396-5,157
48925896-k,54
48979148-k,36
48986292-1,85
48996426-0,133
48998776-7,162
49036882-5,95
49159506-k,18
49166815-6,68
49255740-4,38
49326776-0,10
49337371-4,158
49359132-0,157
49552236-9,92
49604231-k,28
49628420-8,134
49641463-2,154
49718772-9,108
49798131-k,74
49860637-7,151
49881324-0,149
49891081-5,96
49974632-6,152
49993665-6,29
49995619-3,83
50022661-7,74
50042631-4,112
50062649-6,97
50109588-5,203
50270274-2,139
50319391-4,80
50321392-3,171
50453382-4,193
50511840-5,146
50536630-1,153
50728559-7,192
50814284-6,25
50942616-3,19
51093069-k,55
51153844-0,129
51193594-6,170
51194123-7,139
51242629-8,208
51248373-9,149
51317447-0,160
51433500-1,105
51616764-5,194
51630030-2,48
51667797-k,145
51693674-6,155
51755919-9,163
51827744-8,214
51844875-7,165
51853396-7,108
52157315-5,53
52158784-9,184
52176953-k,13
52179815-7,195
52189199-8,144
52247620-k,209
52258791-5,201
52392092-8,189
52576933-k,109
52581344-4,24
52650167-5,23
52698782-9,45
52703981-9,2
52778909-5,156
52792841-9,211
52916249-9,70
52968708-7,116
53038300-8,193
53042462-6,25
53087333-1,150
53089483-5,16
53171533-0,93
53211068-8,106
53234460-3,186
53281073-6,6
53325503-5,202
53329659-9,200
53331281-0,185
53383454-k,128
53456223-3,189
53511335-1,49
53523140-0,113
53609901-8,5
53642790-2,121
53644614-1,188
53721649-2,67
53747213-8,53
53783913-9,18
53967694-6,130
54004386-8,132
54023774-3,101
54076655-k,102
54106148-7,152
54121962-5,60
54122700-8,29
54157127-2,152
54178021-1,129
54230570-3,176
54245196-3,168
54252672-6,99
54363208-2,132
54451953-0,215
54475883-7,50
54480341-7,88
54546935-9,118
54556015-1,129
54570173-1,150
54593722-0,194
54676049-9,149
54726514-9,129
54746197-5,190
54801563-4,1
54864080-6,189
54982068-9,136
55012555-2,187
55106753-k,154
55326528-2,211
55422937-9,84
55514185-8,30
55676647-9,0
55705480-4,130
55776079-2,67
55823148-3,35
55868629-4,130
55956975-5,187
55972471-8,195
55994808-k,34
56064569-4,163
56093204-9,21
56119224-3,63
56197957-k,201
56229978-5,123
56292778-6,33
56350683-0,198
56405384-8,212
56425505-k,139
56474633-9,100
56485501-4,117
56499633-5,211
56535213-k,208
56619171-7,129
56725663-4,78
56744324-8,89
56781936-1,15
56790702-3,169
56840142-5,121
56914123-0,25
56930255-2,50
56944351-2,157
57041868-8,129
57078757-8,114
57133149-7,67
57181678-4,168
57189229-4,170
57289805-9,58
57325256-k,134
57342278-3,110
57437538-k,103
57639262-1,77
57689116-4,23
57728317-6,48
57792927-0,57
57829633-6,70
57836259-2,84
57931953-4,209
58000701-5,72
58038177-4,67
58044372-9,49
58143457-k,168
58154631-9,47
58155861-9,106
58179139-9,70
58188294-7,99
58191750-3,204
58303600-8,39
58307021-4,51
58332136-5,7
58366562-5,89
58378678-3,170
58496906-7,51
58509457-9,17
58557550-k,11
58593290-6,194
58648727-2,141
58748811-6,106
58765828-3,70
58812264-6,182
58844715-4,76
58846331-1,117
58945079-5,165
58963604-k,36
58976828-0,96
59051717-8,27
59060940-4,154
59089616-0,137
59105378-7,119
59129614-0,24
59137080-4,67
59150917-9,167
59161375-8,51
59170372-2,209
59192155-k,125
59260036-6,11
59332921-6,5
59444986-k,77
59445067-1,41
59495529-3,75
59517619-0,176
59537115-5,25
59749734-2,7
59814228-9,133
59854747-5,38
59885368-1,98
59890575-4,199
59919311-1,167
59959821-9,172
59982206-2,57
60020954-k,112
60028335-9,165
60031280-4,190
60038263-2,9
60139069-8,149
60158787-4,157
60211995-5,186
60370162-3,162
60456055-1,215
60517573-2,56
60574488-5,169
60727093-7,94
60747994-1,188
60854678-2,120
60916764-5,102
60926655-4,97
60987426-0,128
60987705-7,170
61036645-7,147
61127746-6,92
61242043-2,76
61262323-6,160
61336127-8,41
61514910-1,180
61554580-5,2
61627352-3,167
61662429-6,35
61773216-5,151
61774912-2,212
61786224-7,194
61863167-2,143
61890115-7,127
61892040-2,114
61993529-2,52
61995722-9,164
62014673-0,61
62034785-k,65
62036438-k,134
62196038-5,120
62220169-0,39
62420431-k,14
62422623-2,81
62425949-1,75
62550748-0,50
62778278-0,182
62785039-5,155
62815723-5,212
62820832-8,111
62832139-6,163
62887150-7,101
62942419-9,151
62974576-9,208
63196577-6,10
63214394-k,79
63214464-4,110
63216586-2,142
63360085-6,9
63382431-2,105
63421928-5,58
63459997-5,214
63483183-5,47
63532763-4,159
63688364-6,203
63699218-6,158
63795324-9,86
63814706-8,67
63824003-3,108
63884576-8,189
63936216-7,212
63951440-4,109
63953205-4,190
63968995-6,56
63974341-1,22
64043694-8,204
64063874-5,87
64100872-9,55
64221026-2,197
64268937-1,82
64269343-3,179
64272663-3,121
64336012-8,209
64367868-3,9
64370666-0,72
64501886-9,155
64651214-k,84
64660903-8,200
64750606-2,3
64879120-8,115
64903395-1,86
65175008-3,126
65207641-6,210
65227086-7,38
65238271-1,96
65346159-3,116
65485230-8,85
65538426-k,198
65573855-k,197
65731455-2,163
65809271-5,65
65855526-k,142
65884381-8,135
66045545-0,53
66119831-1,208
66169613-3,215
66183219-3,204
66185512-6,27
66199185-2,108
66199699-4,81
66227912-9,184
66258468-1,35
66284985-5,50
66295586-8,112
66336340-9,123
66361406-1,189
66398573-6,56
66478458-0,72
66540267-3,146
66625711-1,166
66646618-7,178
66658505-4,162
66714421-3,214
66760004-9,73
66844166-1,188
66866166-1,175
66899113-0,193
66920820-0,199
66922079-0,63
66954467-7,94
66970190-k,51
66976509-6,120
67170407-k,3
67216197-5,73
67314332-6,58
67391164-1,179
67414624-8,173
67609462-8,153
67629255-1,46
67710168-7,15
67753422-2,105
67902197-4,165
67913619-4,162
67938721-9,118
67978268-1,136
68035652-1,188
68120110-6,5
68133700-8,90
68147125-1,208
68155764-4,22
68208732-3,208
68225683-4,123
68353685-7,212
68377701-3,140
68428477-0,215
68505645-3,45
68583239-9,137
68903163-3,47
69020528-9,42
69135613-2,214
69140468-4,53
69141385-3,24
69163174-5,59
69167855-5,40
69186141-4,148
69251591-9,129
69265725-k,12
69373271-9,9
69402733-4,27
69568679-k,38
69691126-6,152
69698793-9,146
69705129-5,189
69719019-8,174
69760987-3,17
69767927-8,81
69768825-0,199
69777560-9,201
69822376-6,173
70012917-9,184
70019535-k,212
70106627-8,9
70116705-8,93
70156418-9,75
70202613-k,116
70366259-5,11
70368495-5,121
70388205-6,144
70433997-6,187
70551235-3,162
70582800-8,131
70624789-0,135
70638696-3,18
70733075-9,88
70735043-1,128
70841109-4,190
70851011-4,47
70876733-6,36
71075215-k,213
71134226-5,65
71162268-3,129
71180222-3,57
71198104-7,129
71316667-7,198
71389826-0,163
71518049-9,160
71591727-0,193
71612139-9,150
71652443-4,195
71796805-0,167
71881591-6,52
71962392-1,181
72018152-5,72
72070561-3,197
72157153-k,63
72159761-k,27
72275204-k,187
72309503-4,74
72429091-4,84
72430402-8,90
72447098-k,206
72478850-5,91
72570829-7,193
72611524-9,169
72620651-1,14
72629258-2,57
72800848-2,213
72810804-5,176
72856019-3,152
72939187-5,19
73026642-1,103
73031326-8,63
73075290-3,182
73178495-7,69
73222374-6,38
73290473-5,215
73324033-4,88
73342699-3,123
73352137-6,91
73418283-4,76
73453102-2,198
73454838-3,17
73540572-1,100
73543707-0,187
73557956-8,170
73561428-2,169
73745994-2,55
73815426-6,214
73833231-8,173
73842540-5,1
74269105-5,35
74357811-2,87
74361473-9,27
74415365-4,91
74500563-2,115
74580276-1,5
74630833-7,195
74644456-7,189
74748755-3,135
74759859-2,21
74895468-6,176
75016224-k,100
75020925-4,146
75039658-5,206
75106425-k,56
75129314-3,203
75153238-5,73
75269880-5,205
75270010-9,215
75281837-1,125
75295314-7,0
75328775-2,169
75346943-5,65
75357089-6,77
75397524-1,164
75490842-4,55
75523496-6,142
75576764-6,43
75653640-0,115
75766984-6,109
75806614-2,7
75903526-7,161
75910499-4,59
75981648-k,45
76041278-3,182
76081261-7,57
76160177-6,156
76356563-7,173
76362168-5,151
76396643-7,103
76413818-k,205
76494450-k,127
76534733-5,158
76563311-7,151
76591179-6,206
76762441-7,57
76849115-1,62
76871405-3,38
77020926-9,97
77189827-0,146
77191435-7,46
77209293-8,203
77210598-3,40
77214559-4,182
77354291-0,87
77366538-9,88
77477421-1,79
77484278-0,176
77489819-0,212
77520112-6,106
77625718-4,82
77757931-2,202
77785207-8,101
77796005-9,186
77814675-4,211
77837095-6,130
77941465-5,56
77983700-9,126
78059417-9,159
78156640-3,87
78158392-8,49
78160098-9,108
78166652-1,33
78301240-5,157
78331019-8,41
78413522-5,200
78459862-4,176
78463527-9,166
78479752-k,142
78599189-3,49
78662700-1,86
78734770-3,77
78897889-8,37
78918085-7,20
79029236-7,152
79154026-7,90
79195789-3,134
79263691-8,52
79308193-6,130
79344858-9,141
79348268-k,54
79407634-0,123
79425659-4,146
79446327-1,22
79459402-3,13
79464991-k,194
79480331-5,81
79543386-4,43
79625227-8,0
79687907-6,117
79693636-3,151
79695896-0,149
79725605-6,162
79725852-0,185
79735673-5,37
79757833-9,169
79758989-6,207
79850677-3,75
79861684-6,4
79873843-7,159
79922398-8,215
79974368-k,77
80092681-5,117
80146994-9,182
80228379-2,124
80282829-2,74
80291272-2,17
80308047-k,21
80353279-6,162
80356838-3,27
80438756-0,170
80508950-4,118
80511365-0,165
80549244-9,175
80558312-6,209
80580088-7,125
80588097-k,128
80592689-9,36
80600254-2,49
80611905-9,106
80628376-2,126
80640357-1,87
80698616-k,134
80703512-6,178
80843691-4,29
80869010-1,94
80885102-4,101
80921370-6,142
80924311-7,135
81018273-3,163
81019249-6,171
81168161-k,3
81203114-7,96
81207716-3,155
81234956-2,182
81252987-0,76
81311438-0,126
81330568-2,125
81401624-2,113
81403585-9,17
81428035-7,82
81492646-k,76
81498697-7,158
81559564-5,152
81560843-7,196
81600879-4,77
81602032-8,147
81641085-1,129
81698647-8,71
81783289-k,56
81881771-1,167
81955785-3,168
82003178-4,51
82254885-7,12
82260254-1,38
82270937-0,210
82319208-8,160
82376572-k,21
82429778-9,19
82533150-6,114
82581279-2,99
82645956-5,18
82673938-k,204
82693313-5,32
82719046-2,135
82809947-7,193
82833215-5,93
82903113-2,150
82993651-8,172
83028620-9,149
83029887-8,161
83118985-1,28
83123905-0,156
83131309-9,195
83290634-4,82
83296811-0,99
83330704-5,22
83386046-1,210
83399209-0,143
83469143-4,168
83481742-k,175
83538271-0,7
83584289-4,188
83603309-4,30
83605517-9,170
83635222-k,210
83640016-k,164
83896534-2,77
83905334-7,34
83917354-7,124
84078768-0,166
84081575-7,159
84095044-1,197
84167281-k,206
84327091-3,27
84539370-2,101
84569598-9,186
84593882-2,166
84621982-k,95
84671162-7,184
84729190-7,137
84891139-9,17
84911278-3,125
84921010-6,86
84964932-9,140
85034590-2,126
85055980-5,68
85073231-0,194
85122660-5,94
85297873-2,14
85301240-8,80
85384785-2,155
85394005-4,149
85410626-0,53
85411178-7,196
85516291-1,198
85553386-3,85
85594953-9,139
85682952-9,107
85743167-7,184
85778387-5,162
85779616-0,36
85831418-6,168
85884715-k,127
85930746-9,126
85973291-7,151
86043030-4,82
86083776-5,63
86103635-9,203
86164302-6,16
86260284-6,169
86339917-3,88
86367440-9,116
86434438-0,208
86447590-6,198
86516801-2,98
86555166-5,185
86646016-7,205
86664654-6,177
86679007-8,115
86683089-4,201
86819507-k,59
87081187-k,162
87094740-2,151
87244280-4,106
87282538-k,7
87371798-k,125
87442136-7,165
87544765-3,97
87548946-1,7
87624695-3,16
87631642-0,8
87634133-6,81
87649058-7,41
87734759-1,53
87772349-6,5
87813399-4,142
87859472-k,213
87861767-3,177
87991170-2,95
88034198-7,162
88094734-6,5
88104231-2,7
88107942-9,102
88132030-4,103
88151779-5,50
88198898-4,147
88283175-2,89
88408240-4,33
88413708-k,32
88495383-9,150
88538509-5,185
88667817-7,73
88697741-7,114
88726486-4,204
88730119-0,5
88732812-9,140
88757035-3,182
88772168-8,38
88806288-2,90
89025372-5,155
89077953-0,162
89118524-3,19
89146700-1,101
89200986-4,2
89213188-0,153
89260929-2,49
89265324-0,2
89321752-5,112
89336201-0,109
89477804-0,115
89512502-4,138
89576450-7,57
89671041-9,148
89751595-4,117
89793517-1,114
89861491-3,137
90007582-0,35
90155266-5,166
90172937-9,148
90243628-6,108
90414316-2,146
90471139-k,31
90494178-6,199
90505307-8,148
90594532-7,47
90601826-8,164
90730270-9,47
90739234-1,81
90870389-8,58
90922919-7,50
90966759-3,139
91051274-9,5
91059844-9,105
91085975-7,192
91119340-k,139
91210142-8,128
91223172-0,19
91231636-k,57
91258242-6,53
91346186-k,202
91461351-5,131
91790173-2,178
91844038-0,4
91888069-0,33
91888493-9,46
91935122-5,192
91938760-2,182
91957637-5,136
91957885-8,55
91995839-1,173
92060023-9,1
92170041-5,80
92244003-4,79
92253121-8,191
92270331-0,209
92310665-0,29
92311983-3,107
92365268-k,166
92386054-1,135
92390198-1,99
92394961-5,100
92445451-2,154
92505908-0,186
92554015-3,163
92696219-1,2
92851961-9,195
92898031-6,161
92931585-5,214
92946711-6,180
92951996-5,48
93009498-6,15
93044599-1,93
93057304-3,164
93066103-1,130
93129166-1,198
93129167-k,208
93176945-6,196
93207016-2,165
93285177-6,112
93310611-k,195
93433032-3,115
93550420-1,160
93591226-1,193
93600353-2,178
93635199-9,15
93840785-1,2
93892863-0,128
93900888-8,61
94006732-4,78
94123958-7,162
94221380-8,82
94362008-3,28
94384917-k,9
94422835-7,127
94432090-3,170
94506083-2,195
94559048-3,171
94688326-3,96
94821886-0,33
94864113-5,41
94888169-1,113
94947578-6,115
95185947-8,159
95199785-4,116
95226644-6,133
95367461-0,69
95403427-5,114
95423202-6,86
95435510-1,5
95437335-5,40
95487734-5,168
95514882-7,105
95520055-1,34
95521769-1,6
95541523-k,178
95541819-0,6
95598580-k,176
95623149-3,96
95656123-k,90
95667888-9,103
95711978-6,190
95741388-9,26
95759065-9,212
95777850-k,148
95810168-6,122
95855049-9,178
95932617-7,66
96007294-4,84
96187015-1,155
96213302-9,124
96213582-k,158
96217495-7,106
96251410-3,42
96260856-6,86
96332059-0,190
96371883-7,108
96392316-3,17
96404014-1,147
96557795-5,5
96562711-1,120
96735305-1,160
96828461-4,20
96863860-2,151
96900689-8,55
96951878-3,25
96964691-9,208
97004364-0,199
97036167-7,1
97102977-3,103
97163657-2,148
97166191-7,201
97321798-4,26
97343582-5,80
97355372-0,193
97404549-4,208
97418193-2,166
97538963-4,33
97596735-2,37
97632307-6,123
97632703-9,102
97657967-4,163
97675067-5,13
97754557-9,157
97781705-6,136
97804380-1,171
97901764-2,6
97985609-1,182
97996738-1,11
98121429-3,142
98152080-7,32
98296705-8,85
98357275-8,82
98417733-k,100
98518861-0,4
98544321-1,12
98642893-3,170
98661210-6,106
98683815-5,1
98708700-5,56
98849412-7,197
99070181-4,190
99075946-4,215
99108730-3,198
99116865-6,84
99149710-2,123
99184175-k,192
99223381-8,180
99233768-0,32
99265623-9,132
99294258-4,68
99302343-4,43
99347364-2,116
99428020-1,187
99463426-7,131
99466469-7,82
99748016-3,82
99837067-1,98
99875339-2,108
99927220-7,63
99937169-8,49
